description,amount,category,type,date
Rent cheque cleared completed,28674,Rent,expense,2024-08-13
Pet care expenses again,26401,Others,expense,2025-09-21
Video game purchase on Steam today,4645,Entertainment,expense,2025-05-27
Train ticket booked to Delhi via IRCTC,6134,Travel,expense,2026-07-31
Pizza Hut dinner order via UPI,538,Food,expense,2026-02-07
Board game cafe outing confirmed,1333,Entertainment,expense,2023-05-02
YouTube Premium subscription done,5314,Entertainment,expense,2023-09-30
college tuition fee paid via GPay,12953,Others,expense,2023-12-07
Bus ticket to Mumbai urgent,2774,Travel,expense,2023-12-29
rent cheque cleared via PhonePe,28971,Rent,expense,2025-04-24
BUS TICKET TO AHMEDABAD,14450,Travel,expense,2024-06-04
Swiggy lunch order done,1388,Food,expense,2023-10-14
Family movie night at PVR for family,3613,Entertainment,expense,2025-04-08
rent paid for july today,20416,Rent,expense,2025-06-03
Bus ticket to Delhi via PhonePe,5957,Travel,expense,2023-08-17
flight ticket booking to Hyderabad,15022,Travel,expense,2025-07-30
dth recharge payment,5437,Others,expense,2025-09-22
train ticket booked to Lucknow via IRCTC,14432,Travel,expense,2025-10-16
eatsure order for family,2322,Food,expense,2025-08-12
Monthly grocery haul at Big Bazaar this month,330,Food,expense,2024-04-21
online order from ajio,46004,Shopping,expense,2025-05-30
Bank locker annual fee paid completed,30805,Others,expense,2023-01-09
Monthly rent payment confirmed,12164,Rent,expense,2025-07-13
shared cab ride with colleagues - noted,8543,Travel,expense,2026-06-30
Shared flat rent contribution - paid online,11716,Rent,expense,2026-06-15
Cab fare to Chennai for business trip for family,2836,Travel,expense,2026-04-22
Uber ride to office urgent,11862,Travel,expense,2026-02-05
Airtel mobile recharge done,9179,Others,expense,2024-11-29
Rapido bike ride to hospital done,17967,Travel,expense,2024-05-24
MEDICINE PURCHASE FROM PHARMACY,35256,Others,expense,2025-01-16
House rent for May for family,38856,Rent,expense,2026-06-09
Breakfast at local restaurant,2831,Food,expense,2023-01-20
Coffee at CCD with colleagues completed,1178,Food,expense,2024-04-08
BUS TICKET TO CHANDIGARH,2988,Travel,expense,2026-08-17
Donation to charity,30951,Others,expense,2025-10-05
House rent for January again,30624,Rent,expense,2026-01-22
EatSure dinner order this month,1888,Food,expense,2023-08-05
cab fare to Chandigarh for business trip,17854,Travel,expense,2023-08-05
amazon prime video subscription via PhonePe,9021,Entertainment,expense,2024-10-20
Bus ticket to Hyderabad completed,10643,Travel,expense,2026-03-04
Salary credited for April 2025 urgent,161320,Salary,income,2026-08-20
DTH recharge payment completed,8766,Others,expense,2023-02-26
Salary credited for December 2026,60457,Salary,income,2023-08-10
Personal loan EMI paid done,415,Others,expense,2024-11-06
FASTag recharge confirmed,8142,Travel,expense,2026-01-13
Zomato dinner order via PhonePe,1438,Food,expense,2025-04-30
Metro card recharge today,368,Travel,expense,2025-03-15
bus ticket to chandigarh confirmed,18261,Travel,expense,2025-04-27
Payment received for tuition classes via UPI,34162,Others,income,2024-08-19
faasos food delivery,1010,Food,expense,2023-09-25
Grocery shopping at Reliance Fresh - noted,2973,Food,expense,2026-01-04
loan EMI payment today,2060,Others,expense,2026-04-03
Online order from Snapdeal for family,39363,Shopping,expense,2026-05-24
Bought clothes from Allen Solly,42053,Shopping,expense,2023-01-25
Myntra purchase via GPay,6665,Shopping,expense,2025-07-25
RENT TRANSFERRED TO SOCIETY OFFICE VIA UPI done,18222,Rent,expense,2025-10-14
spotify premium payment done,2566,Entertainment,expense,2023-09-20
petrol filled at pump,5432,Travel,expense,2023-07-28
New phone purchase - paid online,18223,Shopping,expense,2024-11-17
Salary credited for December 2026 urgent,118715,Salary,income,2024-05-09
PG rent payment,45241,Rent,expense,2023-12-06
Grocery shopping at DMart for family,1319,Food,expense,2023-03-08
Personal loan EMI paid for family,16020,Others,expense,2024-10-24
Salary credited for March 2024 this month,148348,Salary,income,2023-04-16
Pizza Hut lunch order this month,1535,Food,expense,2024-06-09
Kulfi from street vendor,1199,Food,expense,2024-10-22
Ordered sushi from Swiggy again,2303,Food,expense,2025-08-27
Salary credited for December 2026 via UPI,98372,Salary,income,2026-04-23
Bus ticket to Kolkata via UPI,5552,Travel,expense,2024-07-26
Flat rent for the month of January done,5012,Rent,expense,2023-03-12
salary credited for november 2023 - noted,79341,Salary,income,2024-01-02
advance rent paid for new flat today,26814,Rent,expense,2024-04-25
Bus ticket to Delhi (cash),5857,Travel,expense,2026-01-18
Salary credited for July 2024,93349,Salary,income,2026-05-12
Salary credited for February 2026 via PhonePe,50238,Salary,income,2025-06-21
Auto rickshaw fare to market via UPI,7549,Travel,expense,2025-07-18
tax refund credited,33495,Others,income,2026-03-27
auto rickshaw fare to railway station,16867,Travel,expense,2026-07-27
Bought books online,7561,Shopping,expense,2025-12-25
Flight ticket booking to Ahmedabad,3783,Travel,expense,2026-06-04
Box8 lunch order confirmed,207,Food,expense,2026-06-01
Quick snack from Dominos urgent,2671,Food,expense,2025-04-28
ONLINE ORDER FROM NYKAA,18438,Shopping,expense,2023-06-20
Water park tickets purchased for family,7089,Entertainment,expense,2023-03-28
Bought electronics from Vijay Sales,24777,Shopping,expense,2023-05-02
Rent paid to broker (cash),40809,Rent,expense,2023-10-05
netflix subscription this month,9078,Entertainment,expense,2023-10-05
Plumber service payment this month,11753,Others,expense,2024-09-07
Sunday brunch buffet completed,2445,Food,expense,2024-04-27
Auto rickshaw fare to office completed,7097,Travel,expense,2024-02-11
RENT PAID FOR AUGUST,5999,Rent,expense,2026-06-29
Insurance premium paid urgent,26773,Others,expense,2023-07-13
Electrician service payment,22736,Others,expense,2025-04-21
Lunch with friends at highway dhaba completed,1528,Food,expense,2026-02-21
Netflix subscription for family,2238,Entertainment,expense,2025-08-21
Bike servicing at garage,5701,Travel,expense,2024-05-19
flat rent for the month of january again,33894,Rent,expense,2024-06-17
House rent for January via GPay,36769,Rent,expense,2025-07-26
New outfit purchased from H&M for family,8531,Shopping,expense,2024-10-21
Cashback credited on UPI payment - noted,18745,Others,income,2025-09-06
Salary credited for January 2024 again,168740,Salary,income,2024-06-17
Rent paid for July again,22083,Rent,expense,2023-12-22
Movie tickets at Cinepolis urgent,285,Entertainment,expense,2024-03-16
Dinner at local restaurant,1123,Food,expense,2023-06-04
Gaming subscription renewal via UPI,2193,Entertainment,expense,2026-02-24
quick snack from wow momo via UPI,1306,Food,expense,2026-07-04
WEEKEND MOVIE OUTING AT CINEPOLIS - noted,1583,Entertainment,expense,2025-02-21
Board game cafe outing again,7142,Entertainment,expense,2026-01-11
MONTHLY RENT PAYMENT urgent,36212,Rent,expense,2025-12-26
evening snacks at highway dhaba,2244,Food,expense,2025-01-08
FLAT RENT FOR THE MONTH OF MARCH,11313,Rent,expense,2023-06-06
Weekly groceries from local kirana store,2210,Food,expense,2024-11-02
House rent for September (cash),47166,Rent,expense,2024-09-22
SALARY CREDITED FOR JUNE 2025,28025,Salary,income,2025-03-07
cashback credited on upi payment for family,29430,Others,income,2026-08-11
Bonus salary credited confirmed,11314,Salary,income,2023-11-21
Swiggy dinner order,1847,Food,expense,2026-01-27
New outfit purchased from Max Fashion this month,15590,Shopping,expense,2025-03-07
Auto rickshaw fare to market (cash),16983,Travel,expense,2023-04-02
Life insurance premium paid,9372,Others,expense,2025-11-03
Dinner at highway dhaba,473,Food,expense,2023-06-24
Lunch with friends at roadside stall,1820,Food,expense,2025-09-30
Cab fare to Mumbai for business trip again,4806,Travel,expense,2024-03-05
Cab fare to airport today,8740,Travel,expense,2024-08-16
Petrol filled at pump - paid online,8054,Travel,expense,2024-12-23
refund from flipkart order,32684,Others,income,2024-02-20
Advance rent paid for new flat urgent,44751,Rent,expense,2023-06-27
Myntra purchase urgent,26864,Shopping,expense,2023-02-16
Cab fare to Chennai for business trip done,17387,Travel,expense,2026-07-09
Festive sale shopping on Flipkart urgent,9634,Shopping,expense,2023-10-19
salary credited for November 2023 today,189220,Salary,income,2025-05-16
Canteen food coupon recharge done,2625,Food,expense,2024-09-04
reimbursement credited by company again,14210,Others,income,2024-07-28
Flight ticket booking to Surat - noted,3399,Travel,expense,2024-04-02
Shared flat rent contribution via PhonePe,39914,Rent,expense,2025-08-02
Online order from Snapdeal completed,29290,Shopping,expense,2025-03-06
Salary plus incentive credited again,63916,Salary,income,2024-09-26
Online order from Meesho completed,40095,Shopping,expense,2026-03-17
house rent for june urgent,44688,Rent,expense,2026-03-07
Quick snack from McDonald's,1820,Food,expense,2025-03-08
New outfit purchased from Max Fashion,45115,Shopping,expense,2025-03-04
Cab fare to Surat for business trip this month,4518,Travel,expense,2023-08-24
Salary credited for February 2023,108069,Salary,income,2024-06-05
House rent for December - paid online,36265,Rent,expense,2024-09-05
Salary credited for February 2026 done,20120,Salary,income,2026-06-14
flipkart purchase,9465,Shopping,expense,2024-05-05
Refund from Flipkart order via PhonePe,21347,Others,income,2023-02-04
Plumber service payment again,33745,Others,expense,2025-08-18
Cab fare to Lucknow for business trip,16493,Travel,expense,2024-04-11
Quick snack from Zomato again,2338,Food,expense,2025-09-27
Family movie night at INOX again,7112,Entertainment,expense,2025-07-17
Dinner at friend's place for family,2947,Food,expense,2026-07-14
salary credited for march 2023,49484,Salary,income,2025-03-23
festive sale shopping on nykaa,26062,Shopping,expense,2023-02-26
Bought electronics from Croma,28512,Shopping,expense,2024-09-15
Salary credited for July 2026 (cash) for family,139742,Salary,income,2025-01-01
Barista lunch order completed,1936,Food,expense,2025-01-11
New outfit purchased from Westside urgent,23700,Shopping,expense,2024-12-05
flight ticket booking to Chennai,10986,Travel,expense,2024-02-12
Family dinner at office canteen,968,Food,expense,2024-12-27
Salary credited for August 2024 (cash),193982,Salary,income,2024-12-04
Grocery shopping at DMart again,628,Food,expense,2025-06-05
Bought clothes from Allen Solly done,17056,Shopping,expense,2023-11-25
Dinner at roadside stall - noted,1537,Food,expense,2023-01-13
Flat rent for the month of December this month,19025,Rent,expense,2025-10-29
Salary credited for May 2024 via GPay,63299,Salary,income,2025-06-13
YOUTUBE PREMIUM SUBSCRIPTION this month,488,Entertainment,expense,2024-09-06
SALARY CREDITED FOR FEBRUARY 2026 this month,54754,Salary,income,2023-01-20
Diesel refill for car done,10107,Travel,expense,2023-09-24
Movie tickets at INOX completed,112,Entertainment,expense,2023-09-28
YouTube Premium subscription via UPI,5283,Entertainment,expense,2024-04-13
House rent for September today,39722,Rent,expense,2025-05-28
SALARY CREDITED FOR JANUARY 2024,84934,Salary,income,2026-02-08
Dividend received from mutual funds confirmed,25997,Others,income,2024-04-22
Monthly grocery haul at local vegetable market via UPI,2903,Food,expense,2024-07-28
Dinner at food court this month,285,Food,expense,2025-05-17
Family movie night at Carnival Cinemas via UPI,3538,Entertainment,expense,2024-09-01
Quick snack from Chaayos done,1598,Food,expense,2023-04-03
Rent paid via bank transfer for family,12400,Rent,expense,2024-04-28
Family dinner at hotel restaurant this month,1775,Food,expense,2025-10-19
Monthly rent payment urgent,29057,Rent,expense,2026-04-07
purchased a bicycle,14681,Shopping,expense,2024-05-10
Ola cab booking to friend's house via PhonePe,18966,Travel,expense,2026-05-18
Freelance website payment received via GPay urgent,32643,Others,income,2026-03-19
Property tax paid for family,977,Others,expense,2026-03-19
Rent paid for May - noted,32023,Rent,expense,2026-07-20
Rent paid for September this month,48326,Rent,expense,2024-04-16
Personal loan EMI paid this month,28729,Others,expense,2023-11-25
Bus ticket to Pune completed,10572,Travel,expense,2024-06-17
festive sale shopping on ajio confirmed,49117,Shopping,expense,2026-07-12
Flight ticket booking to Delhi,16422,Travel,expense,2025-11-17
Reimbursement credited by company this month,11088,Others,income,2025-09-15
Bought snacks for movie night,2621,Food,expense,2026-03-11
Video game purchase on Steam (cash) urgent,4487,Entertainment,expense,2023-11-12
Monthly wages credited,176619,Salary,income,2024-02-17
Advance rent paid for new flat,8556,Rent,expense,2024-04-01
Annual increment salary credited done,109960,Salary,income,2024-02-23
Concert tickets booked - paid online,5009,Entertainment,expense,2023-10-09
festive sale shopping on meesho today,15256,Shopping,expense,2025-12-28
School fees paid this month,17691,Others,expense,2026-07-13
FLAT RENT FOR THE MONTH OF JULY,46330,Rent,expense,2025-11-24
Barista order for family,138,Food,expense,2025-07-27
Rent paid for November urgent,47497,Rent,expense,2025-12-25
Train ticket booked to Mumbai via IRCTC again,2022,Travel,expense,2025-09-04
weekend brunch at roadside stall,1108,Food,expense,2026-03-31
Rent paid to broker done,43668,Rent,expense,2024-03-11
FASTag recharge today,4685,Travel,expense,2025-07-26
uber ride to market - paid online,11495,Travel,expense,2026-01-16
house rent for November,34042,Rent,expense,2026-07-07
UBER RIDE TO FRIEND'S HOUSE again,10125,Travel,expense,2023-05-31
Breakfast at friend's place completed,887,Food,expense,2024-05-19
Mobile phone repair payment,23433,Others,expense,2025-12-15
Bus ticket to Lucknow confirmed,8281,Travel,expense,2025-12-28
Salary credited to savings account via PhonePe,158227,Salary,income,2025-09-13
Rent transferred to property owner via UPI - noted,40686,Rent,expense,2024-04-28
spotify premium payment,586,Entertainment,expense,2024-03-05
Salary credited for January 2023,64850,Salary,income,2023-06-16
bonus salary credited today,106872,Salary,income,2024-02-21
OTT platform subscription renewal via PhonePe,3545,Entertainment,expense,2025-12-08
flight ticket booking to bengaluru,2998,Travel,expense,2025-09-28
DINNER AT COLLEGE CANTEEN,2578,Food,expense,2024-11-22
SALARY CREDITED FOR NOVEMBER 2025,16291,Salary,income,2024-04-09
Bought curtains and bedsheets done,26004,Shopping,expense,2023-03-23
Salary credited for August 2026 via UPI,189034,Salary,income,2026-02-04
FREELANCE WRITING PAYMENT RECEIVED again,20531,Others,income,2023-11-18
Festive sale shopping on Flipkart for family,25840,Shopping,expense,2023-11-23
vet bill for pet checkup for family,16519,Others,expense,2023-09-28
Breakfast at dhaba - noted,2748,Food,expense,2023-06-11
TAX REFUND CREDITED,26843,Others,income,2026-05-23
salary credited for May 2025 via UPI,178733,Salary,income,2026-03-25
Lunch with friends at roadside stall done,318,Food,expense,2025-03-22
Street food evening with friends done,2910,Food,expense,2023-08-10
Consulting salary credited - noted,36074,Salary,income,2024-12-12
bus ticket to kolkata,14067,Travel,expense,2025-07-23
Cab fare to Mumbai for business trip urgent,12356,Travel,expense,2023-09-21
Rapido bike ride to home,13866,Travel,expense,2026-08-03
Train ticket booked to Ahmedabad via IRCTC via GPay,1421,Travel,expense,2023-09-05
Bought clothes from Zara this month,13249,Shopping,expense,2025-09-14
Annual increment salary credited today,121144,Salary,income,2025-11-07
Theme park annual pass via UPI today,1052,Entertainment,expense,2026-08-16
Rapido bike ride to hospital completed,17044,Travel,expense,2025-10-28
Rent transferred to flat owner via UPI this month,21142,Rent,expense,2026-02-10
Book club membership fee for family,3437,Entertainment,expense,2024-04-29
monthly rent payment via GPay,17002,Rent,expense,2023-03-15
Winter clothes bought from Uniqlo again,29516,Shopping,expense,2023-02-10
Metro card recharge this month,3000,Travel,expense,2025-08-22
Online order from Amazon again,1140,Shopping,expense,2023-08-19
REFUND RECEIVED FROM AMAZON,6232,Others,income,2026-02-28
salary credited for April 2026,42520,Salary,income,2024-09-24
Rent paid for July confirmed,42698,Rent,expense,2024-02-29
Dinner at rooftop cafe today,845,Food,expense,2026-05-18
Bought a smartwatch this month,1360,Shopping,expense,2025-07-04
Evening snacks at friend's place - noted,658,Food,expense,2023-11-19
Pizza Hut food delivery for family,927,Food,expense,2026-01-08
Cab fare to Chandigarh for business trip,3394,Travel,expense,2025-04-21
Freelance writing payment received done,2785,Others,income,2026-05-21
Purchased a backpack this month,37023,Shopping,expense,2023-11-24
Bought skincare products again,39735,Shopping,expense,2026-07-28
salary credited for september 2024 for family,97697,Salary,income,2023-05-02
paid house rent urgent,32165,Rent,expense,2023-12-25
amazon purchase for family,16279,Shopping,expense,2024-04-07
Internship stipend credited done,62290,Salary,income,2025-04-02
new gadget purchased at reliance digital,5982,Shopping,expense,2024-10-14
EatSure order for family today,482,Food,expense,2025-04-10
cab fare to delhi for business trip urgent,2145,Travel,expense,2023-04-04
Amusement park tickets - paid online,4590,Entertainment,expense,2025-08-27
Flat rent for the month of January completed,41688,Rent,expense,2025-06-12
FRUITS BOUGHT FROM VENDOR,1786,Food,expense,2024-05-23
Swiggy order for family (cash),817,Food,expense,2026-07-06
Family movie night at local multiplex via GPay,1701,Entertainment,expense,2026-04-08
HOUSE RENT FOR JULY via GPay,21075,Rent,expense,2026-04-01
Cab fare to Hyderabad for business trip completed,19518,Travel,expense,2026-06-19
Amazon Prime Video subscription today,9906,Entertainment,expense,2025-08-03
Flat rent for the month of November for family,46420,Rent,expense,2025-01-04
Auto rickshaw fare to client meeting confirmed,2722,Travel,expense,2026-04-20
festive sale shopping on Amazon done,46889,Shopping,expense,2025-06-28
Shopping at Levis done,3912,Shopping,expense,2026-07-30
Rent split with roommate paid via PhonePe,9090,Rent,expense,2025-01-26
flipkart shopping haul,4617,Shopping,expense,2024-05-10
Flat rent for the month of July urgent,40494,Rent,expense,2025-01-21
Freelance website payment received,14223,Others,income,2024-06-11
Train ticket booked to Pune via IRCTC for family,18066,Travel,expense,2023-01-04
Salary credited for December 2026 this month,104262,Salary,income,2025-03-26
Dinner at food court urgent,812,Food,expense,2023-03-05
salon haircut and grooming,35805,Others,expense,2023-10-19
Insurance premium paid again,23831,Others,expense,2024-10-21
Flat rent for the month of February this month,24051,Rent,expense,2025-08-16
Toll payment on highway this month,19744,Travel,expense,2023-02-09
late night McDonald's order,1756,Food,expense,2023-12-05
Flight ticket booking to Surat confirmed,15207,Travel,expense,2023-07-28
take home salary deposited completed,153086,Salary,income,2024-01-11
House rent for August today,15278,Rent,expense,2026-02-18
Salary credited for May 2023 today,192837,Salary,income,2026-08-14
CCD food delivery,1788,Food,expense,2023-02-20
Salary credited for October 2026 via UPI,88623,Salary,income,2025-04-08
Part time job salary credited today,172690,Salary,income,2026-08-11
Monthly metro pass recharge urgent,2112,Travel,expense,2025-06-15
Salary credited for February 2025 confirmed,159177,Salary,income,2025-07-27
SALARY CREDITED FOR JULY 2025 completed,19129,Salary,income,2024-06-18
Consulting salary credited - paid online,104738,Salary,income,2024-03-01
Laptop repair service payment urgent,19833,Others,expense,2023-10-26
Sold used books - payment received via GPay,36606,Others,income,2025-01-26
Monthly salary credited done,193241,Salary,income,2024-09-22
McDonald's lunch order,1799,Food,expense,2023-07-22
SALARY CREDITED FOR MARCH 2023,11523,Salary,income,2025-01-05
Salary credited for January 2025,74789,Salary,income,2023-08-09
FAMILY MOVIE NIGHT AT PVR today,1902,Entertainment,expense,2026-01-30
Salary credited for May 2023 for family,109118,Salary,income,2024-06-17
ola auto ride to market again,11306,Travel,expense,2026-02-10
salary arrears credited,30921,Salary,income,2024-08-23
shopping at h&m,48690,Shopping,expense,2024-03-03
flight ticket booking to chandigarh,15134,Travel,expense,2025-04-19
Train ticket booked to Bengaluru via IRCTC - paid online,16561,Travel,expense,2024-02-18
Breakfast at office canteen,1912,Food,expense,2026-06-08
Shop rent payment for the month this month,25539,Rent,expense,2024-11-05
Bought clothes from Levis via GPay,25620,Shopping,expense,2024-01-23
purchased kids toys online,7540,Shopping,expense,2026-01-30
salary credited for May 2026 today,72434,Salary,income,2024-04-20
Flat rent for the month of May urgent,46090,Rent,expense,2025-11-05
Shopping at Lifestyle urgent,21434,Shopping,expense,2026-03-04
Internship stipend credited,39089,Salary,income,2024-11-24
water purifier service charge this month,1853,Others,expense,2025-12-29
LUNCH WITH FRIENDS AT ROOFTOP CAFE done,342,Food,expense,2024-07-21
winter clothes bought from H&M,46287,Shopping,expense,2023-11-14
Rapido bike ride to client meeting via GPay,10133,Travel,expense,2024-11-08
Warehouse rent paid done,11810,Rent,expense,2024-02-26
Furniture bought for new house confirmed,11561,Shopping,expense,2026-08-05
Society maintenance and rent paid via GPay,34151,Rent,expense,2026-04-28
Festive sale shopping on Ajio,31290,Shopping,expense,2023-10-11
house rent for may via PhonePe,27801,Rent,expense,2025-06-08
Bought gifts for friend's wedding,21292,Shopping,expense,2025-05-25
NEW OUTFIT PURCHASED FROM ZARA,44790,Shopping,expense,2023-12-06
Zoo entry tickets for family today,5967,Entertainment,expense,2023-05-13
Airtel mobile recharge urgent,4479,Others,expense,2025-03-26
Rental income received from tenant urgent,11616,Others,income,2024-08-05
salary credited for February 2026,198777,Salary,income,2023-10-05
Referral bonus credited via PhonePe,39933,Others,income,2024-05-11
Rental income received from tenant via UPI,9356,Others,income,2023-02-12
Breakfast at highway dhaba,2823,Food,expense,2025-02-15
Sunday brunch buffet today,2697,Food,expense,2024-07-13
KARAOKE NIGHT WITH FRIENDS this month,930,Entertainment,expense,2026-01-17
Salary credited for September 2025 confirmed,49370,Salary,income,2023-02-18
grocery shopping at local vegetable market via PhonePe,1967,Food,expense,2025-12-01
YOUTUBE PREMIUM SUBSCRIPTION completed,5209,Entertainment,expense,2023-06-03
Festive sale shopping on Nykaa - noted,15774,Shopping,expense,2025-10-05
Rapido bike ride to home via PhonePe,1161,Travel,expense,2026-05-24
karaoke night with friends completed,1565,Entertainment,expense,2024-01-24
Train ticket booked to Lucknow via IRCTC (cash),18830,Travel,expense,2026-02-11
spotify premium payment confirmed,7971,Entertainment,expense,2024-05-13
myntra shopping haul again,46848,Shopping,expense,2023-07-10
Evening snacks at local restaurant via UPI,2006,Food,expense,2024-09-20
Hostel rent payment - noted,27772,Rent,expense,2024-07-20
Winter clothes bought from Max Fashion this month,38314,Shopping,expense,2025-01-23
Diesel refill for car - noted,1665,Travel,expense,2023-08-15
new outfit purchased from lifestyle,16108,Shopping,expense,2026-04-14
Uber ride to office,18992,Travel,expense,2026-02-14
Salary arrears credited urgent,32422,Salary,income,2024-05-26
FAMILY MOVIE NIGHT AT LOCAL MULTIPLEX,4290,Entertainment,expense,2026-03-22
late night dominos order,2476,Food,expense,2026-06-25
Interest credited on savings account,22958,Others,income,2025-09-17
House rent for November,8000,Rent,expense,2023-12-03
Winter clothes bought from Allen Solly again,10133,Shopping,expense,2023-07-29
Part time job salary credited via UPI,36952,Salary,income,2026-01-20
MONTHLY PAY CREDITED TO ACCOUNT confirmed,167272,Salary,income,2024-10-12
Movie tickets at Cinepolis again,8134,Entertainment,expense,2024-03-14
Bowling with friends for family,7983,Entertainment,expense,2023-05-06
Auto rickshaw fare to railway station for family,11105,Travel,expense,2023-11-07
studio apartment rent payment,41512,Rent,expense,2026-01-29
SHOPPING AT PANTALOONS,25318,Shopping,expense,2024-02-21
Rent paid for November for family,47780,Rent,expense,2026-05-18
late night KFC order confirmed,1744,Food,expense,2025-10-21
Bus ticket to Delhi for family,17583,Travel,expense,2025-01-10
Rent paid for June this month,26279,Rent,expense,2025-09-15
Salary credited for May 2025 today,182244,Salary,income,2023-11-04
Ordered pasta from EatSure urgent,2787,Food,expense,2024-09-03
Salary credited for August 2023 urgent,134308,Salary,income,2024-02-18
Mobile phone repair payment completed,17403,Others,expense,2024-11-27
rapido bike ride to friend's house,10707,Travel,expense,2024-08-24
property tax paid,34783,Others,expense,2023-09-13
Rent paid for April - paid online,45439,Rent,expense,2025-09-30
SNAPDEAL SHOPPING HAUL,44924,Shopping,expense,2025-11-09
Monthly grocery haul at Spencer's this month,1500,Food,expense,2023-12-15
Car servicing payment this month,3214,Travel,expense,2026-01-14
Wow Momo lunch order - noted,2952,Food,expense,2025-05-02
Bus ticket to Lucknow - noted,434,Travel,expense,2024-07-08
freelance website payment received this month,16070,Others,income,2024-05-15
Salary credited for May 2026 confirmed,130644,Salary,income,2023-04-22
freelance project payment received - paid online,21676,Others,income,2026-07-08
movie tickets at local multiplex done,3227,Entertainment,expense,2025-11-07
Auto rickshaw fare to airport - noted,8623,Travel,expense,2024-06-20
Salary credited by HR department this month,43214,Salary,income,2025-12-05
gym membership fee urgent,2652,Others,expense,2025-02-01
Flat rent for the month of March this month,17075,Rent,expense,2024-06-02
Ajio shopping haul urgent,1927,Shopping,expense,2025-10-09
Salary credited for May 2026 again,77447,Salary,income,2025-02-18
FAMILY MOVIE NIGHT AT CINEPOLIS via PhonePe,596,Entertainment,expense,2025-03-05
SNAPDEAL PURCHASE,17343,Shopping,expense,2026-02-05
family movie night at carnival cinemas done,4291,Entertainment,expense,2025-10-23
Vet bill for pet checkup today,25570,Others,expense,2023-12-08
house rent for November urgent,8101,Rent,expense,2023-10-31
Comic con tickets booked again,6854,Entertainment,expense,2026-07-15
Weekend movie outing at PVR for family,2184,Entertainment,expense,2025-08-04
Monthly rent paid to landlord again,17051,Rent,expense,2023-02-17
family movie night at PVR,5364,Entertainment,expense,2026-01-10
Theme park annual pass via UPI urgent,1146,Entertainment,expense,2024-09-23
Gaming subscription renewal,1224,Entertainment,expense,2024-02-16
Salary credited for November 2024 urgent,117900,Salary,income,2023-07-02
Quick snack from Wow Momo this month,2263,Food,expense,2023-03-29
Ola cab booking to market,16207,Travel,expense,2024-03-24
KARAOKE NIGHT WITH FRIENDS - noted,3955,Entertainment,expense,2024-06-15
Salary credited after tax deduction completed,149584,Salary,income,2026-01-03
vegetables and fruits from Big Bazaar,2950,Food,expense,2025-11-26
credit card bill payment via PhonePe,27467,Others,expense,2023-07-16
Hotstar subscription renewal this month,5463,Entertainment,expense,2024-02-14
Weekend brunch at office canteen - paid online,2741,Food,expense,2024-11-09
Myntra purchase,29418,Shopping,expense,2024-03-15
Ola cab booking to friend's house again,3498,Travel,expense,2026-02-07
Cab fare to Pune for business trip,16091,Travel,expense,2023-11-24
Monthly rent payment via GPay,17576,Rent,expense,2023-08-29
Shopping at Pantaloons confirmed,2539,Shopping,expense,2025-08-18
family dinner at roadside stall,1307,Food,expense,2023-02-11
Uber ride to college,12806,Travel,expense,2023-05-09
Monthly rent payment,43284,Rent,expense,2023-11-09
festive sale shopping on amazon,3279,Shopping,expense,2023-09-08
Weekend movie outing at PVR again,6397,Entertainment,expense,2023-05-31
Bus ticket to Jaipur - noted,19328,Travel,expense,2025-02-15
VEGETABLES AND FRUITS FROM NATURE'S BASKET,2696,Food,expense,2023-11-12
New outfit purchased from Allen Solly completed,20789,Shopping,expense,2026-05-23
Salon and grooming expense via GPay,25020,Others,expense,2025-02-18
Amazon shopping haul confirmed,31240,Shopping,expense,2025-10-17
HOUSE RENT FOR DECEMBER,10853,Rent,expense,2026-07-03
Weekend movie outing at Carnival Cinemas via GPay,7444,Entertainment,expense,2026-07-30
shopping at H&M,43323,Shopping,expense,2025-06-17
Society maintenance fee paid - noted,16077,Others,expense,2023-01-03
Bought a smartwatch,6133,Shopping,expense,2026-05-09
Bus ticket to Bengaluru confirmed,7814,Travel,expense,2026-06-21
board game cafe outing done,9349,Entertainment,expense,2026-02-04
Flight ticket booking to Surat completed,8066,Travel,expense,2023-05-17
Reimbursement credited by company via UPI,9164,Others,income,2023-11-07
COMMISSION RECEIVED FROM SALE,6831,Others,income,2025-04-09
Ajio purchase today,45932,Shopping,expense,2026-05-08
Monthly pay credited to account - paid online,54179,Salary,income,2025-12-08
payment received for tuition classes urgent,34608,Others,income,2025-03-01
Movie tickets at Cinepolis (cash),9494,Entertainment,expense,2023-12-25
laptop repair service payment,2147,Others,expense,2023-03-22
Salary credited for July 2026 confirmed,31964,Salary,income,2023-11-08
New gadget purchased at Apple Store again,1013,Shopping,expense,2024-08-30
Netflix subscription via PhonePe for family,2441,Entertainment,expense,2025-05-03
GROCERY SHOPPING AT MORE SUPERMARKET,2003,Food,expense,2025-09-07
Tiffin service monthly payment via UPI,1377,Food,expense,2026-03-25
Salary credited for October 2024 via UPI,80164,Salary,income,2023-10-20
Grocery shopping at More Supermarket,2742,Food,expense,2026-08-17
refund from Flipkart order confirmed,33435,Others,income,2025-11-11
Flipkart shopping haul done,48015,Shopping,expense,2023-03-27
Loan EMI payment (cash),34197,Others,expense,2023-01-21
Cashback from credit card for family,17247,Others,income,2025-08-17
